P,L2-NORM,C_in,C_SR,y,point_type,system_id
0.08119219436,25.214067849,0.16859805806,25.209707663,0.43752910098,,P1
0.082149411002,25.164082871,0.16889959581,25.159719684,0.43708707261,,P1
0.083096684446,25.114097725,0.16919654885,25.10973143,0.43665155981,,P1
0.084034557158,25.064112425,0.16948914876,25.05974292,0.43622224984,,P1
0.084963529624,25.014126983,0.16977760886,25.00975417,0.43579885408,,P1
0.085884065993,24.96414141,0.17006212678,24.959765194,0.43538110496,,P1
0.086796597717,24.914155717,0.17034288596,24.909776004,0.43496875379,,P1
0.087701526741,24.864169914,0.1706200571,24.859786615,0.43456156898,,P1
0.088599228305,24.814184008,0.1708937993,24.809797036,0.43415933443,,P1
0.089490053412,24.764198009,0.1711642612,24.759807278,0.43376184808,,P1
0.090374331013,24.714211923,0.17143158188,24.709817352,0.4333689207,,P1
0.091252369953,24.664225757,0.17169589171,24.659827265,0.43298037474,,P1
0.092124460695,24.614239519,0.17195731312,24.609837026,0.43259604333,,P1
0.092990876865,24.564253214,0.17221596123,24.559846643,0.43221576943,,P1
0.093851876634,24.514266847,0.17247194448,24.509856124,0.431839405,,P1
0.094707703962,24.464280424,0.17272536513,24.459865474,0.43146681031,,P1
0.095558589712,24.41429395,0.1729763198,24.4098747,0.43109785327,,P1
0.096404752658,24.364307428,0.17322489984,24.359883809,0.43073240886,,P1
0.097246400403,24.314320865,0.17347119176,24.309892806,0.43037035863,,P1
0.098083730199,24.264334263,0.17371527761,24.259901695,0.43001159018,,P1
0.098916929699,24.214347627,0.17395723524,24.209910483,0.42965599676,,P1
0.099746177647,24.164360959,0.17419713864,24.159919173,0.42930347685,,P1
0.10057164449,24.114374264,0.17443505822,24.10992777,0.42895393382,,P1
0.10139349296,24.064387545,0.174671061,24.059936279,0.42860727562,,P1
0.10221187858,24.014400805,0.17490521089,24.009944703,0.42826341442,,P1
0.10302695016,23.964414046,0.17513756888,23.959953045,0.42792226638,,P1
0.10383885023,23.914427272,0.1753681932,23.90996131,0.42758375139,,P1
0.10464771541,23.864440484,0.17559713954,23.859969501,0.42724779283,,P1
0.10545367686,23.814453687,0.17582446118,23.809977621,0.42691431737,,P1
0.10625686054,23.764466881,0.17605020913,23.759985673,0.42658325473,,P1
0.10705738757,23.71448007,0.17627443229,23.709993661,0.42625453756,,P1
0.10785537451,23.664493256,0.17649717759,23.660001586,0.42592810121,,P1
0.10865093367,23.61450644,0.17671849005,23.610009451,0.42560388362,,P1
0.10944417327,23.564519624,0.17693841293,23.56001726,0.42528182514,,P1
0.1102351978,23.514532812,0.17715698782,23.510025014,0.42496186842,,P1
0.11102410811,23.464546004,0.17737425476,23.460032716,0.42464395827,,P1
0.11181100173,23.414559202,0.17759025227,23.410040368,0.42432804153,,P1
0.11259597295,23.364572409,0.17780501747,23.360047973,0.42401406701,,P1
0.11337911309,23.314585625,0.17801858615,23.310055531,0.42370198532,,P1
0.11416051062,23.264598853,0.17823099286,23.260063046,0.42339174885,,P1
0.11494025129,23.214612093,0.17844227092,23.210070519,0.42308331159,,P1
0.11571841833,23.164625349,0.17865245253,23.160077953,0.42277662915,,P1
0.11649509256,23.11463862,0.17886156882,23.110085348,0.4224716586,,P1
0.11727035249,23.064651909,0.1790696499,23.060092706,0.42216835843,,P1
0.11804427449,23.014665217,0.17927672489,23.01010003,0.42186668848,,P1
0.11881693287,22.964678545,0.179482822,22.960107321,0.42156660988,,P1
0.11958839999,22.914691895,0.17968796857,22.91011458,0.42126808498,,P1
0.12035874636,22.864705268,0.17989219107,22.860121809,0.42097107729,,P1
0.12112804075,22.814718665,0.18009551521,22.810129009,0.42067555144,,P1
0.12189635023,22.764732087,0.18029796591,22.760136183,0.42038147312,,P1
0.12266374032,22.714745536,0.18049956739,22.71014333,0.42008880903,,P1
0.12343027502,22.664759013,0.18070034316,22.660150453,0.41979752684,,P1
0.12419601691,22.614772519,0.18090031609,22.610157552,0.41950759515,,P1
0.12496102721,22.564786055,0.18109950838,22.56016463,0.41921898346,,P1
0.12572536583,22.514799623,0.18129794168,22.510171687,0.41893166208,,P1
0.12648909148,22.464813223,0.18149563702,22.460178724,0.41864560218,,P1
0.12725226167,22.414826856,0.18169261491,22.410185743,0.41836077566,,P1
0.12801493283,22.364840524,0.18188889531,22.360192745,0.4180771552,,P1
0.12877716032,22.314854228,0.18208449769,22.310199731,0.41779471418,,P1
0.12953899847,22.264867968,0.18227944103,22.260206701,0.41751342668,,P1
0.1303005007,22.214881746,0.18247374385,22.210213658,0.41723326741,,P1
0.13106171949,22.164895563,0.18266742422,22.160220602,0.41695421175,,P1
0.13182270647,22.11490942,0.18286049981,22.110227534,0.41667623566,,P1
0.13258351242,22.064923317,0.18305298785,22.060234455,0.41639931568,,P1
0.13334418737,22.014937256,0.1832449052,22.010241366,0.41612342894,,P1
0.1341047806,21.964951238,0.18343626834,21.960248268,0.41584855307,,P1
0.13486534067,21.914965264,0.18362709339,21.910255163,0.41557466626,,P1
0.13562591549,21.864979334,0.18381739612,21.86026205,0.41530174716,,P1
0.13638655232,21.81499345,0.18400719198,21.810268931,0.41502977493,,P1
0.13714729782,21.765007612,0.18419649609,21.760275807,0.41475872917,,P1
0.13790819807,21.715021822,0.18438532328,21.710282678,0.41448858994,,P1
0.13866929863,21.66503608,0.18457368806,21.660289546,0.41421933773,,P1
0.13943064453,21.615050387,0.18476160469,21.610296412,0.41395095344,,P1
0.14019228031,21.565064745,0.18494908714,21.560303275,0.41368341837,,P1
0.14095425007,21.515079154,0.18513614912,21.510310138,0.41341671419,,P1
0.14171659745,21.465093615,0.18532280409,21.460317,0.41315082297,,P1
0.1424793657,21.415108129,0.18550906528,21.410323864,0.41288572711,,P1
0.14324259768,21.365122697,0.18569494567,21.360330729,0.41262140938,,P1
0.14400633589,21.31513732,0.18588045803,21.310337596,0.41235785287,,P1
0.14477062249,21.265151999,0.18606561491,21.260344466,0.41209504099,,P1
0.14553549932,21.215166735,0.18625042867,21.21035134,0.41183295747,,P1
0.14630100792,21.165181528,0.18643491145,21.160358219,0.41157158634,,P1
0.14706718954,21.11519638,0.1866190752,21.110365104,0.41131091191,,P1
0.14783408521,21.065211291,0.18680293171,21.060371995,0.41105091879,,P1
0.14860173568,21.015226263,0.18698649257,21.010378892,0.41079159185,,P1
0.14937018149,20.965241296,0.18716976921,20.960385798,0.41053291621,,P1
0.15013946298,20.915256391,0.1873527729,20.910392712,0.41027487728,,P1
0.15090962031,20.86527155,0.18753551475,20.860399636,0.41001746067,,P1
