V,L2-NORM,MAX C_in,MAX C_SR,MAX U(3),MAX U(4),PERIOD,point_type,system_id
-42.43946475,27.719134256,0.23340697517,27.834529247,0.0,0.0,27.479646516,,P1
-42.439464737,27.717039086,0.23392052247,27.834525469,0.0,0.0,27.795715764,,P1
-42.439464729,27.714921226,0.23443637027,27.834543168,0.0,0.0,28.111782248,,P1
-42.439464723,27.712780687,0.23495232819,27.834535738,0.0,0.0,28.427845931,,P1
-42.439464719,27.710617482,0.23547053305,27.834517085,0.0,0.0,28.743906776,,P1
-42.439464716,27.708431625,0.23598950734,27.834541658,0.0,0.0,29.059964747,,P1
-42.439464714,27.70622313,0.23650970043,27.834542286,0.0,0.0,29.376019808,,P1
-42.439464713,27.703992015,0.23703098037,27.834532071,0.0,0.0,29.692071924,,P1
-42.439464712,27.701738296,0.23755400599,27.834535204,0.0,0.0,30.00812106,,P1
-42.439464711,27.699461993,0.23807897049,27.834543014,0.0,0.0,30.324167181,,P1
-42.439464711,27.697163126,0.23860488769,27.834540306,0.0,0.0,30.640210255,,P1
-42.43946471,27.694841714,0.23913220249,27.834525285,0.0,0.0,30.956250246,,P1
-42.43946471,27.692497781,0.23966063839,27.834539388,0.0,0.0,31.272287123,,P1
-42.43946471,27.690131347,0.24019144787,27.834543246,0.0,0.0,31.588320852,,P1
-42.43946471,27.687742437,0.24072302294,27.834517529,0.0,0.0,31.904351401,,P1
-42.43946471,27.685331074,0.24125669616,27.834535299,0.0,0.0,32.220378738,,P1
-42.43946471,27.682897283,0.24179124751,27.834543004,0.0,0.0,32.536402831,,P1
-42.43946471,27.68044109,0.24232808162,27.834536122,0.0,0.0,32.852423648,,P1
-42.43946471,27.677962521,0.24286570981,27.834518461,0.0,0.0,33.168441159,,P1
-42.43946471,27.675461601,0.24340617419,27.834527897,0.0,0.0,33.484455332,,P1
-42.43946471,27.672938359,0.24394770176,27.834543331,0.0,0.0,33.800466138,,P1
-42.43946471,27.670392823,0.24449033231,27.834538067,0.0,0.0,34.116473546,,P1
-42.439464709,27.66782502,0.24503570714,27.834522329,0.0,0.0,34.432477525,,P1
-42.439464709,27.66523498,0.24558231595,27.834542463,0.0,0.0,34.748478047,,P1
-42.439464709,27.662622731,0.24613087811,27.834541571,0.0,0.0,35.064475082,,P1
-42.439464709,27.659988305,0.24668077845,27.834530357,0.0,0.0,35.3804686,,P1
-42.439464709,27.657331731,0.2472329357,27.834523969,0.0,0.0,35.696458574,,P1
-42.439464709,27.654653039,0.24778669931,27.834538617,0.0,0.0,36.012444973,,P1
-42.439464709,27.651952262,0.24834193225,27.834543326,0.0,0.0,36.328427771,,P1
-42.439464709,27.649229431,0.2488997663,27.834533604,0.0,0.0,36.644406938,,P1
-42.439464709,27.646484577,0.24945908506,27.834514168,0.0,0.0,36.960382447,,P1
-42.439464709,27.643717734,0.25001999688,27.834528506,0.0,0.0,37.27635427,,P1
-42.439464709,27.640928933,0.25058335905,27.834540002,0.0,0.0,37.59232238,,P1
-42.439464709,27.638118209,0.25114802998,27.83452657,0.0,0.0,37.90828675,,P1
-42.439464709,27.635285594,0.25171527118,27.834514717,0.0,0.0,38.224247352,,P1
-42.439464709,27.632431123,0.25228412016,27.834534442,0.0,0.0,38.540204161,,P1
-42.439464709,27.629554829,0.25285527926,27.834542774,0.0,0.0,38.856157149,,P1
-42.439464709,27.626656748,0.25342860565,27.834541072,0.0,0.0,39.17210629,,P1
-42.439464709,27.623736914,0.25400329389,27.834518901,0.0,0.0,39.488051559,,P1
-42.439464709,27.620795361,0.25458074594,27.834519483,0.0,0.0,39.80399293,,P1
-42.43946471,27.617832127,0.25516011882,27.834536251,0.0,0.0,40.119930376,,P1
-42.43946471,27.614847246,0.25574145905,27.834540033,0.0,0.0,40.435863873,,P1
-42.43946471,27.611840754,0.25632482369,27.834526658,0.0,0.0,40.751793396,,P1
-42.43946471,27.608812688,0.25691020929,27.834506649,0.0,0.0,41.06771892,,P1
-42.43946471,27.605763084,0.25749757309,27.834543242,0.0,0.0,41.383640419,,P1
-42.43946471,27.60269198,0.25808766536,27.834539511,0.0,0.0,41.69955787,,P1
-42.43946471,27.599599411,0.25868003373,27.834525491,0.0,0.0,42.015471248,,P1
-42.43946471,27.596485417,0.2592743097,27.834511931,0.0,0.0,42.33138053,,P1
-42.43946471,27.593350033,0.2598706519,27.834525828,0.0,0.0,42.64728569,,P1
-42.43946471,27.590193299,0.26046939395,27.834539528,0.0,0.0,42.963186707,,P1
-42.43946471,27.587015252,0.26107111024,27.834535752,0.0,0.0,43.279083556,,P1
-42.43946471,27.583815931,0.26167466731,27.834518034,0.0,0.0,43.594976215,,P1
-42.43946471,27.580595374,0.26228050967,27.834517972,0.0,0.0,43.910864659,,P1
-42.43946471,27.57735362,0.26288833506,27.834543314,0.0,0.0,44.226748868,,P1
-42.43946471,27.574090708,0.26349869318,27.834538806,0.0,0.0,44.542628817,,P1
-42.439464717,27.573755485,0.26356130917,27.834537763,0.0,0.0,44.574965881,BP,P1
