BR,PT,TY,LAB,V,L2-NORM,C_in,C_SR,U(3),U(4),stability,system_id
1,102,,0,-5.49596E+01,2.77035E+01,1.73330E-01,2.77029E+01,0.00000E+00,0.00000E+00,4,P1
1,202,,0,-5.49097E+01,2.77055E+01,1.73455E-01,2.77050E+01,0.00000E+00,0.00000E+00,4,P1
1,302,,0,-5.48597E+01,2.77075E+01,1.73581E-01,2.77070E+01,0.00000E+00,0.00000E+00,4,P1
1,402,,0,-5.48098E+01,2.77095E+01,1.73707E-01,2.77090E+01,0.00000E+00,0.00000E+00,4,P1
1,502,,0,-5.47598E+01,2.77115E+01,1.73833E-01,2.77109E+01,0.00000E+00,0.00000E+00,4,P1
1,602,,0,-5.47098E+01,2.77134E+01,1.73959E-01,2.77129E+01,0.00000E+00,0.00000E+00,4,P1
1,702,,0,-5.46599E+01,2.77154E+01,1.74085E-01,2.77148E+01,0.00000E+00,0.00000E+00,4,P1
1,802,,0,-5.46099E+01,2.77173E+01,1.74211E-01,2.77168E+01,0.00000E+00,0.00000E+00,4,P1
1,902,,0,-5.45599E+01,2.77192E+01,1.74337E-01,2.77187E+01,0.00000E+00,0.00000E+00,4,P1
1,1002,,0,-5.45100E+01,2.77211E+01,1.74463E-01,2.77206E+01,0.00000E+00,0.00000E+00,4,P1
1,1102,,0,-5.44600E+01,2.77230E+01,1.74588E-01,2.77224E+01,0.00000E+00,0.00000E+00,4,P1
1,1202,,0,-5.44100E+01,2.77248E+01,1.74714E-01,2.77243E+01,0.00000E+00,0.00000E+00,4,P1
1,1302,,0,-5.43601E+01,2.77267E+01,1.74840E-01,2.77261E+01,0.00000E+00,0.00000E+00,4,P1
1,1402,,0,-5.43101E+01,2.77285E+01,1.74966E-01,2.77279E+01,0.00000E+00,0.00000E+00,4,P1
1,1502,,0,-5.42601E+01,2.77303E+01,1.75092E-01,2.77298E+01,0.00000E+00,0.00000E+00,4,P1
1,1602,,0,-5.42102E+01,2.77321E+01,1.75218E-01,2.77315E+01,0.00000E+00,0.00000E+00,4,P1
1,1702,,0,-5.41602E+01,2.77339E+01,1.75343E-01,2.77333E+01,0.00000E+00,0.00000E+00,4,P1
1,1802,,0,-5.41102E+01,2.77356E+01,1.75469E-01,2.77351E+01,0.00000E+00,0.00000E+00,4,P1
1,1902,,0,-5.40603E+01,2.77374E+01,1.75595E-01,2.77368E+01,0.00000E+00,0.00000E+00,4,P1
1,2002,,0,-5.40103E+01,2.77391E+01,1.75721E-01,2.77385E+01,0.00000E+00,0.00000E+00,4,P1
1,2102,,0,-5.39603E+01,2.77408E+01,1.75846E-01,2.77402E+01,0.00000E+00,0.00000E+00,4,P1
1,2202,,0,-5.39104E+01,2.77425E+01,1.75972E-01,2.77419E+01,0.00000E+00,0.00000E+00,4,P1
1,2302,,0,-5.38604E+01,2.77441E+01,1.76098E-01,2.77436E+01,0.00000E+00,0.00000E+00,4,P1
1,2402,,0,-5.38104E+01,2.77458E+01,1.76223E-01,2.77452E+01,0.00000E+00,0.00000E+00,4,P1
1,2502,,0,-5.37604E+01,2.77474E+01,1.76349E-01,2.77469E+01,0.00000E+00,0.00000E+00,4,P1
1,2602,,0,-5.37105E+01,2.77490E+01,1.76474E-01,2.77485E+01,0.00000E+00,0.00000E+00,4,P1
1,2702,,0,-5.36605E+01,2.77506E+01,1.76600E-01,2.77501E+01,0.00000E+00,0.00000E+00,4,P1
1,2802,,0,-5.36105E+01,2.77522E+01,1.76725E-01,2.77516E+01,0.00000E+00,0.00000E+00,4,P1
1,2902,,0,-5.35605E+01,2.77538E+01,1.76851E-01,2.77532E+01,0.00000E+00,0.00000E+00,4,P1
1,3002,,0,-5.35106E+01,2.77553E+01,1.76976E-01,2.77548E+01,0.00000E+00,0.00000E+00,4,P1
1,3102,,0,-5.34606E+01,2.77569E+01,1.77102E-01,2.77563E+01,0.00000E+00,0.00000E+00,4,P1
1,3202,,0,-5.34106E+01,2.77584E+01,1.77227E-01,2.77578E+01,0.00000E+00,0.00000E+00,4,P1
1,3302,,0,-5.33606E+01,2.77599E+01,1.77352E-01,2.77593E+01,0.00000E+00,0.00000E+00,4,P1
1,3402,,0,-5.33107E+01,2.77614E+01,1.77477E-01,2.77608E+01,0.00000E+00,0.00000E+00,4,P1
1,3502,,0,-5.32607E+01,2.77628E+01,1.77603E-01,2.77623E+01,0.00000E+00,0.00000E+00,4,P1
1,3602,,0,-5.32107E+01,2.77643E+01,1.77728E-01,2.77637E+01,0.00000E+00,0.00000E+00,4,P1
1,3702,,0,-5.31607E+01,2.77657E+01,1.77853E-01,2.77651E+01,0.00000E+00,0.00000E+00,4,P1
1,3802,,0,-5.31107E+01,2.77671E+01,1.77978E-01,2.77666E+01,0.00000E+00,0.00000E+00,4,P1
1,3902,,0,-5.30608E+01,2.77685E+01,1.78103E-01,2.77680E+01,0.00000E+00,0.00000E+00,4,P1
1,4002,,0,-5.30108E+01,2.77699E+01,1.78228E-01,2.77693E+01,0.00000E+00,0.00000E+00,4,P1
1,4102,,0,-5.29608E+01,2.77713E+01,1.78353E-01,2.77707E+01,0.00000E+00,0.00000E+00,4,P1
1,4202,,0,-5.29108E+01,2.77726E+01,1.78477E-01,2.77721E+01,0.00000E+00,0.00000E+00,4,P1
1,4302,,0,-5.28608E+01,2.77740E+01,1.78602E-01,2.77734E+01,0.00000E+00,0.00000E+00,4,P1
1,4402,,0,-5.28109E+01,2.77753E+01,1.78727E-01,2.77747E+01,0.00000E+00,0.00000E+00,4,P1
1,4502,,0,-5.27609E+01,2.77766E+01,1.78851E-01,2.77760E+01,0.00000E+00,0.00000E+00,4,P1
1,4602,,0,-5.27109E+01,2.77779E+01,1.78976E-01,2.77773E+01,0.00000E+00,0.00000E+00,4,P1
1,4702,,0,-5.26609E+01,2.77792E+01,1.79100E-01,2.77786E+01,0.00000E+00,0.00000E+00,4,P1
1,4802,,0,-5.26109E+01,2.77804E+01,1.79225E-01,2.77798E+01,0.00000E+00,0.00000E+00,4,P1
