P,L2-NORM,C_in,C_SR,y,point_type,system_id
0.087324444571,25.349856473,0.18630495024,25.345058901,0.45662127499,,P1
0.088218953,25.299869354,0.18652030762,25.295070025,0.45610517055,,P1
0.089107366194,25.24988217,0.18673355003,25.245080966,0.45559542086,,P1
0.089989941469,25.199894927,0.18694475719,25.195091733,0.45509179853,,P1
0.090866922512,25.149907631,0.18715400449,25.145102335,0.45459408865,,P1
0.091738540396,25.099920285,0.18736136331,25.095112778,0.45410208782,,P1
0.092605014513,25.049932896,0.18756690134,25.04512307,0.45361560335,,P1
0.093466553414,24.999945466,0.18777068281,24.995133219,0.45313445246,,P1
0.094323355575,24.949958,0.18797276877,24.945143229,0.45265846158,,P1
0.095175610098,24.899970501,0.1881732173,24.895153108,0.45218746576,,P1
0.096023497351,24.849982974,0.18837208368,24.845162862,0.45172130801,,P1
0.096867189552,24.799995421,0.18856942063,24.795172494,0.45125983883,,P1
0.097706851308,24.750007846,0.18876527843,24.745182011,0.45080291571,,P1
0.098542640107,24.700020252,0.18895970512,24.695191418,0.45035040265,,P1
0.099374706772,24.650032641,0.18915274659,24.645200719,0.44990216978,,P1
0.10020319588,24.600045016,0.18934444678,24.595209918,0.44945809296,,P1
0.10102824615,24.55005738,0.18953484773,24.545219019,0.44901805345,,P1
0.1018499908,24.500069735,0.18972398974,24.495228027,0.44858193758,,P1
0.10266855787,24.450082084,0.18991191148,24.445236945,0.44814963642,,P1
0.10348407053,24.400094429,0.19009865004,24.395245777,0.44772104556,,P1
0.10429664737,24.350106772,0.19028424106,24.345254526,0.44729606481,,P1
0.10510640267,24.300119114,0.1904687188,24.295263195,0.44687459795,,P1
0.10591344662,24.250131458,0.19065211622,24.245271788,0.44645655257,,P1
0.10671788558,24.200143806,0.19083446503,24.195280307,0.4460418398,,P1
0.10751982226,24.15015616,0.1910157958,24.145288755,0.44563037415,,P1
0.10831935596,24.10016852,0.191196138,24.095297136,0.44522207332,,P1
0.1091165827,24.05018089,0.19137552003,24.045305451,0.44481685805,,P1
0.10991159545,24.00019327,0.19155396932,23.995313703,0.44441465194,,P1
0.11070448425,23.950205662,0.19173151237,23.945321894,0.44401538131,,P1
0.11149533641,23.900218068,0.19190817476,23.895330028,0.44361897507,,P1
0.11228423658,23.850230488,0.19208398127,23.845338105,0.4432253646,,P1
0.11307126697,23.800242925,0.19225895583,23.795346129,0.44283448359,,P1
0.11385650739,23.75025538,0.19243312163,23.745354101,0.44244626799,,P1
0.11464003546,23.700267853,0.19260650114,23.695362023,0.44206065585,,P1
0.11542192663,23.650280347,0.19277911612,23.645369898,0.44167758724,,P1
0.11620225435,23.600292862,0.19295098768,23.595377726,0.44129700416,,P1
0.11698109015,23.5503054,0.1931221363,23.545385511,0.44091885044,,P1
0.11775850373,23.500317962,0.19329258186,23.495393252,0.44054307168,,P1
0.11853456303,23.450330549,0.19346234368,23.445400954,0.44016961514,,P1
0.11930933437,23.400343162,0.19363144051,23.395408615,0.43979842968,,P1
0.12008288246,23.350355802,0.19379989061,23.34541624,0.43942946569,,P1
0.12085527053,23.30036847,0.19396771171,23.295423828,0.43906267504,,P1
0.12162656036,23.250381168,0.19413492109,23.245431382,0.43869801098,,P1
0.12239681238,23.200393896,0.19430153556,23.195438903,0.43833542813,,P1
0.12316608572,23.150406655,0.19446757151,23.145446392,0.43797488236,,P1
0.12393443827,23.100419447,0.19463304489,23.09545385,0.43761633079,,P1
0.12470192673,23.050432272,0.19479797128,23.04546128,0.43725973174,,P1
0.12546860668,23.000445131,0.19496236585,22.995468681,0.43690504462,,P1
0.12623453263,22.950458025,0.19512624342,22.945476057,0.43655222998,,P1
0.12699975805,22.900470956,0.19528961847,22.895483407,0.43620124937,,P1
0.12776433545,22.850483923,0.19545250511,22.845490733,0.43585206538,,P1
0.1285283164,22.800496928,0.19561491717,22.795498036,0.43550464153,,P1
0.12929175158,22.750509972,0.19577686814,22.745505317,0.43515894229,,P1
0.13005469082,22.700523056,0.19593837122,22.695512577,0.43481493303,,P1
0.13081718316,22.65053618,0.19609943933,22.645519818,0.43447257995,,P1
0.13157927684,22.600549346,0.19626008512,22.595527041,0.43413185009,,P1
0.13234101938,22.550562553,0.19642032098,22.545534245,0.4337927113,,P1
0.13310245761,22.500575804,0.19658015903,22.495541434,0.43345513217,,P1
0.13386363768,22.450589099,0.19673961116,22.445548607,0.43311908205,,P1
0.13462460509,22.400602438,0.19689868903,22.395555765,0.43278453098,,P1
0.13538540478,22.350615823,0.19705740407,22.34556291,0.4324514497,,P1
0.13614608106,22.300629254,0.19721576751,22.295570043,0.43211980962,,P1
0.13690667773,22.250642732,0.19737379036,22.245577164,0.43178958276,,P1
0.13766723805,22.200656258,0.19753148343,22.195584274,0.43146074178,,P1
0.1384278048,22.150669833,0.19768885734,22.145591374,0.43113325993,,P1
0.13918842027,22.100683458,0.19784592253,22.095598465,0.43080711102,,P1
0.13994912633,22.050697133,0.19800268928,22.045605548,0.43048226943,,P1
0.14070996439,22.000710859,0.19815916767,21.995612624,0.43015871008,,P1
0.1414709755,21.950724637,0.19831536763,21.945619694,0.42983640838,,P1
0.1422322003,21.900738467,0.19847129894,21.895626758,0.42951534027,,P1
0.14299367909,21.850752351,0.19862697123,21.845633817,0.42919548216,,P1
0.14375545182,21.80076629,0.19878239397,21.795640873,0.42887681093,,P1
0.14451755812,21.750780283,0.1989375765,21.745647925,0.42855930391,,P1
0.14528003734,21.700794333,0.19909252802,21.695654976,0.42824293886,,P1
0.14604292852,21.650808439,0.19924725762,21.645662024,0.427927694,,P1
0.14680627045,21.600822602,0.19940177424,21.595669072,0.42761354791,,P1
0.14757010169,21.550836824,0.19955608672,21.54567612,0.4273004796,,P1
0.14833446052,21.500851105,0.19971020377,21.495683169,0.42698846846,,P1
0.14909938507,21.450865446,0.199864134,21.44569022,0.42667749424,,P1
0.14986491321,21.400879847,0.20001788592,21.395697273,0.42636753707,,P1
0.15063108267,21.35089431,0.20017146792,21.345704329,0.42605857742,,P1
0.15139793099,21.300908835,0.2003248883,21.295711389,0.4257505961,,P1
0.15216549556,21.250923423,0.20047815528,21.245718454,0.42544357424,,P1
0.15293381364,21.200938075,0.20063127697,21.195725523,0.4251374933,,P1
0.15370292233,21.150952792,0.2007842614,21.1457326,0.42483233506,,P1
0.15447285867,21.100967574,0.20093711652,21.095739682,0.42452808157,,P1
0.15524365955,21.050982423,0.20108985021,21.045746773,0.42422471521,,P1
0.15601536179,21.000997338,0.20124247024,20.995753871,0.4239222186,,P1
0.15678800215,20.951012322,0.20139498436,20.945760979,0.42362057466,,P1
0.1575616173,20.901027375,0.20154740019,20.895768097,0.42331976657,,P1
0.15833624389,20.851042497,0.20169972533,20.845775225,0.42301977779,,P1
0.1591119185,20.80105769,0.20185196729,20.795782364,0.42272059198,,P1
0.1598886777,20.751072955,0.20200413353,20.745789515,0.4224221931,,P1
0.16066655804,20.701088291,0.20215623146,20.695796678,0.4221245653,,P1
0.16144559606,20.651103701,0.20230826841,20.645803855,0.421827693,,P1
0.16222582831,20.601119185,0.20246025167,20.595811046,0.42153156081,,P1
0.16300729136,20.551134744,0.20261218848,20.545818252,0.42123615358,,P1
0.16379002179,20.501150378,0.20276408604,20.495825474,0.42094145636,,P1
0.16457405624,20.451166089,0.20291595149,20.445832711,0.42064745441,,P1
0.16535943139,20.401181878,0.20306779194,20.395839966,0.42035413317,,P1
0.16614618396,20.351197746,0.20321961444,20.345847238,0.42006147832,,P1
0.16693435075,20.301213693,0.20337142601,20.295854529,0.41976947567,,P1
0.16772396865,20.25122972,0.20352323365,20.245861839,0.41947811126,,P1
0.16851507462,20.201245829,0.20367504431,20.195869168,0.41918737128,,P1
0.16930770571,20.15126202,0.2038268649,20.145876519,0.4188972421,,P1
0.1701018991,20.101278294,0.20397870232,20.095883891,0.41860771027,,P1
0.17089769207,20.051294653,0.20413056342,20.045891284,0.4183187625,,P1
0.17169512203,20.001311097,0.20428245505,19.995898701,0.41803038563,,P1
0.17249422652,19.951327627,0.204434384,19.945906142,0.41774256671,,P1
0.17329504323,19.901344244,0.20458635707,19.895913606,0.41745529288,,P1
0.17409760999,19.85136095,0.20473838103,19.845921096,0.41716855148,,P1
0.17490196481,19.801377745,0.20489046263,19.795928612,0.41688232996,,P1
0.17570814585,19.75139463,0.20504260858,19.745936155,0.41659661592,,P1
0.17651619148,19.701411607,0.20519482563,19.695943725,0.41631139709,,P1
0.17732614023,19.651428676,0.20534712045,19.645951323,0.41602666133,,P1
0.17813803085,19.601445839,0.20549949975,19.595958951,0.41574239665,,P1
0.17895190228,19.551463097,0.20565197021,19.545966608,0.41545859115,,P1
0.17976779368,19.50148045,0.2058045385,19.495974296,0.41517523308,,P1
0.18058574446,19.4514979,0.20595721128,19.445982016,0.41489231079,,P1
0.18140579422,19.401515448,0.20610999522,19.395989768,0.41460981275,,P1
0.18222798285,19.351533096,0.20626289697,19.345997553,0.41432772755,,P1
0.18305235046,19.301550843,0.20641592319,19.296005372,0.41404604388,,P1
0.18387893744,19.251568693,0.20656908053,19.246013226,0.41376475053,,P1
0.18470778444,19.201586645,0.20672237564,19.196021115,0.41348383641,,P1
0.1855389324,19.151604701,0.20687581519,19.146029041,0.41320329052,,P1
0.18637242254,19.101622862,0.20702940583,19.096037005,0.41292310195,,P1
